element,Atomic_Number,Atomic_Weight,Period,group,families,Metal,Nonmetal,Metalliod,Mendeleev_Number,l_quantum_number,Atomic_Radius,Miracle_Radius_[pm],Covalent_Radius,Zunger_radii_sum,ionic_radius,crystal_radius,Pauling_Electronegativity,MB_electonegativity,Gordy_electonegativity,Mulliken_EN,Allred-Rockow_electronegativity,metallic_valence,number_of_valence_electrons,gilmor_number_of_valence_electron,valence_s,valence_p,valence_d,valence_f,Number_of_unfilled_s_valence_electrons,Number_of_unfilled_p_valence_electrons,Number_of_unfilled_d_valence_electrons,Number_of_unfilled_f_valence_electrons,outer_shell_electrons,1st_ionization_potential_(kJ/mol),polarizability(A^3),Melting_point_(K),Boiling_Point_(K),Density_(g/mL),specific_heat_(J/g_K)_,heat_of_fusion_(kJ/mol)_,heat_of_vaporization_(kJ/mol)_,thermal_conductivity_(W/(m_K))_,heat_atomization(kJ/mol),Cohesive_energy
Hf,72.0,178.49,6.0,4.0,4.0,1.0,0.0,0.0,45.0,2.0,2.08,158.0,1.5,2.91,1.55,0.85,1.3,1.73,6.3704,3.8,1.16,4.0,4.0,2.0,2.0,0.0,2.0,14.0,0.0,6.0,8.0,0.0,2.0,659.0,16.2,2500.15,4873.15,13.3,0.14,24.06,575.0,23.0,619.0,6.44
Ta,73.0,180.9479,6.0,5.0,4.0,1.0,0.0,0.0,48.0,2.0,2.0,145.0,1.38,2.79,1.45,0.78,1.5,1.94,6.5738,4.11,1.34,5.0,5.0,3.0,2.0,0.0,3.0,14.0,0.0,6.0,7.0,0.0,2.0,761.0,13.1,3269.15,5698.15,16.6,0.14,31.6,743.0,57.5,782.0,8.1
W,74.0,183.84,6.0,6.0,4.0,1.0,0.0,0.0,51.0,2.0,1.93,135.0,1.46,2.735,1.35,0.74,2.36,1.79,6.7841,4.4,1.47,5.78,6.0,4.0,2.0,0.0,4.0,14.0,0.0,6.0,6.0,0.0,2.0,770.0,11.1,3683.15,5933.15,19.3,0.13,35.4,824.0,174.0,849.0,8.9
Re,75.0,186.207,6.0,7.0,4.0,1.0,0.0,0.0,54.0,2.0,1.88,137.0,1.59,2.68,1.35,0.77,1.9,2.06,7.004,4.02,1.6,5.78,7.0,5.0,2.0,0.0,5.0,14.0,0.0,6.0,5.0,0.0,2.0,760.0,9.7,3453.15,5873.15,21.0,0.13,33.2,715.0,47.9,770.0,8.03
Os,76.0,190.23,6.0,8.0,4.0,1.0,0.0,0.0,57.0,2.0,1.85,135.0,1.28,2.65,1.3,0.77,2.2,1.85,7.2335,4.9,1.65,5.78,8.0,5.0,2.0,0.0,6.0,14.0,0.0,6.0,4.0,0.0,2.0,839.0,8.5,3318.15,5303.15,22.6,0.13,31.8,746.0,87.6,791.0,8.17
Ir,77.0,192.22,6.0,9.0,4.0,1.0,0.0,0.0,60.0,2.0,1.8,136.0,1.37,2.628,1.35,0.77,2.2,1.87,7.4345,5.4,1.68,5.78,9.0,4.0,2.0,0.0,7.0,14.0,0.0,6.0,3.0,0.0,2.0,878.0,7.6,2683.15,4403.15,22.4,0.13,26.1,604.0,147.0,665.0,6.94
Pt,78.0,195.08,6.0,10.0,4.0,1.0,0.0,0.0,63.0,2.0,1.77,139.0,1.28,2.7,1.35,0.74,2.28,1.91,7.7208,5.6,1.72,5.78,10.0,3.0,1.0,0.0,9.0,14.0,1.0,6.0,1.0,0.0,1.0,868.0,6.5,2045.15,4100.15,21.4,0.13,19.6,510.0,71.6,565.0,5.84
Au,79.0,196.96654,6.0,11.0,4.0,1.0,0.0,0.0,66.0,2.0,1.74,143.0,1.44,2.66,1.35,1.51,2.54,1.19,7.9791,5.77,1.92,5.44,11.0,2.0,1.0,0.0,10.0,14.0,1.0,6.0,0.0,0.0,1.0,890.0,6.1,1337.15,3353.15,19.3,0.128,12.55,334.4,317.0,366.0,3.81
Hg,80.0,200.59,6.0,12.0,4.0,1.0,0.0,0.0,71.0,2.0,1.71,152.0,1.49,2.41,1.5,0.83,2.0,1.49,8.2469,4.91,1.76,4.44,12.0,1.0,2.0,0.0,10.0,14.0,0.0,6.0,0.0,0.0,2.0,1007.0,5.4,234.25,630.15,13.5,0.139,2.295,59.229,8.34,61.0,0.67
Tl,81.0,204.3833,6.0,13.0,5.0,1.0,0.0,0.0,76.0,1.0,1.56,172.0,1.48,2.235,1.9,1.03,1.62,1.69,4.6618,3.2,1.789,3.44,3.0,3.0,2.0,1.0,10.0,14.0,0.0,5.0,0.0,0.0,3.0,589.0,7.6,576.15,1730.15,11.9,0.13,4.142,164.1,46.1,182.0,1.88
Pb,82.0,207.2,6.0,14.0,5.0,1.0,0.0,0.0,81.0,1.0,1.54,174.0,1.47,2.09,1.8,1.49,1.87,1.92,4.7404,3.9,1.854,2.44,4.0,4.0,2.0,2.0,10.0,14.0,0.0,4.0,0.0,0.0,4.0,716.0,6.8,600.65,2013.15,11.4,0.13,4.799,177.7,35.3,196.0,2.03
Bi,83.0,208.98037,6.0,15.0,5.0,1.0,0.0,0.0,86.0,1.0,1.43,162.0,1.46,1.997,1.6,1.17,2.02,2.14,4.8288,4.69,2.01,3.0,5.0,5.0,2.0,3.0,10.0,14.0,0.0,3.0,0.0,0.0,5.0,703.0,7.4,544.15,1833.15,9.75,0.12,11.3,104.8,7.87,207.0,2.18
Th,90.0,232.0381,7.0,3.0,3.0,1.0,0.0,0.0,16.0,2.0,1.8,178.0,1.65,4.98,1.8,1.19,1.3,1.3,2.8784,3.2,1.11,4.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,6.0,8.0,14.0,2.0,587.0,32.1,2023.15,5063.15,11.7,0.12,16.1,514.4,54.0,576.0,6.2
U,92.0,238.0289,7.0,3.0,3.0,1.0,0.0,0.0,20.0,3.0,1.75,158.0,1.42,4.72,1.75,0.87,1.38,1.7,3.3168,3.4,1.22,5.78,3.0,3.0,2.0,0.0,1.0,3.0,0.0,6.0,9.0,11.0,2.0,598.0,27.4,1405.15,4091.15,19.0,0.12,14.0,477.0,27.6,490.0,5.55
